trade_date,displayed_theme_count,count_ge10,rank1_theme,rank1_limit_up_count,rank1_max_board_count,rank1_ladder_completeness,rank1_combined_score,rank2_theme,rank2_limit_up_count,rank2_max_board_count,rank2_ladder_completeness,rank2_combined_score,rank3_theme,rank3_limit_up_count,rank3_max_board_count,rank3_ladder_completeness,rank3_combined_score,rank4_theme,rank4_limit_up_count,rank4_max_board_count,rank4_ladder_completeness,rank4_combined_score,rank5_theme,rank5_limit_up_count,rank5_max_board_count,rank5_ladder_completeness,rank5_combined_score,prior_top1_fate,prior_top1_current_rank,current_top1_origin,top5_overlap_count,new_entry_count
2026-02-26,5,1,通信,13,4,0.75,0.8818181818,算力,6,6,0.4,0.6909090909,燃气轮机,5,1,1.0,0.6545454545,发电机,3,2,1.0,0.6045454545,环保,3,2,1.0,0.6045454545,exit_top5,,prev_rank2_to_5,1,4
2026-02-27,5,1,有色金属,15,5,0.6,0.9,电力,6,3,1.0,0.8125,化工,6,5,0.6,0.7875,智能电网,5,2,1.0,0.63125,光伏,5,1,1.0,0.4625,exit_top5,,outside_prev_top5,0,5
2026-03-02,5,2,石油石化,25,3,1.0,0.9615384615,化工,11,2,1.0,0.8,有色金属,6,3,1.0,0.7923076923,通信,6,5,0.6,0.6384615385,黄金,6,2,1.0,0.6076923077,remain_top5_lower,3,outside_prev_top5,2,3
2026-03-03,5,2,石油石化,26,4,1.0,0.9785714286,天然气,24,3,1.0,0.8142857143,航运,7,5,0.6,0.6714285714,化工,4,2,0.5,0.5071428571,储能,3,3,0.666667,0.4,rank1_hold,1,prev_rank1,2,3
2026-03-04,5,1,智能电网,11,3,0.666667,0.8857142857,人工智能,5,1,1.0,0.6785714286,石油石化,4,5,0.4,0.6714285714,芯片,4,1,1.0,0.5071428571,电力,3,2,1.0,0.4928571429,remain_top5_lower,3,outside_prev_top5,1,4
2026-03-05,5,1,面板,23,2,1.0,0.9,智能电网,9,2,1.0,0.8166666667,通信,4,2,1.0,0.6166666667,人工智能,4,2,1.0,0.6166666667,算力,3,1,1.0,0.3083333333,remain_top5_lower,2,outside_prev_top5,2,3
2026-03-06,5,1,算力,7,2,1.0,0.8269230769,化工,15,3,0.666667,0.8230769231,智能电网,9,3,0.666667,0.7769230769,电力,6,2,1.0,0.7730769231,人工智能,3,3,0.666667,0.5807692308,exit_top5,,prev_rank2_to_5,3,2
2026-03-09,5,0,算力,9,3,1.0,0.92,智能电网,8,4,0.75,0.7,电力,5,3,1.0,0.63,AI应用,5,2,1.0,0.49,化工,2,2,1.0,0.26,rank1_hold,1,prev_rank1,4,1
2026-03-10,5,1,通信,13,3,0.666667,0.9,算力,8,3,1.0,0.8444444444,并购重组,3,2,1.0,0.6555555556,AI应用,3,1,1.0,0.4666666667,机器人概念,3,1,1.0,0.4666666667,remain_top5_lower,2,outside_prev_top5,2,3
2026-03-11,5,1,化工,10,2,1.0,0.90625,储能,7,3,0.666667,0.71875,智能电网,5,2,1.0,0.69375,算力,4,4,0.75,0.58125,通信,4,2,1.0,0.525,remain_top5_lower,5,outside_prev_top5,2,3
