ts_code,name,is_initial_leader1,is_realized_episode_leader,themes,episode_ids,list_date,first_return_date,last_return_date,observed_return_days,compounded_ytd_return,partial_year,list_date_missing,compounded_ytd_return_pct
002218.SZ,拓日新能,0,1,光伏,EP000240,2008-02-28,2026-01-05,2026-08-31,160,-0.0944665577,0,0,-9.44665577
002227.SZ,奥特迅,1,0,储能,EP000054,2008-05-06,2026-01-05,2026-08-31,159,-0.4335568789,0,0,-43.35568789
002228.SZ,合兴包装,1,0,海峡两岸,EP000138,2008-05-08,2026-01-05,2026-08-31,160,-0.2830275214,0,0,-28.30275214
002235.SZ,安妮股份,0,1,实控人变更,EP000124,2008-05-16,2026-01-05,2026-08-31,160,-0.1363621548,0,0,-13.63621548
002242.SZ,九阳股份,0,1,家电,EP000062,2008-05-28,2026-01-05,2026-08-31,160,-0.1660553926,0,0,-16.60553926
002248.SZ,华东数控,0,1,新型工业化,EP000743,2008-06-12,2026-01-05,2026-08-31,160,-0.1248884195,0,0,-12.48884195
002251.SZ,步步高,1,1,零售,EP000530;EP000533,2008-06-19,2026-01-05,2026-08-31,160,-0.2994382013,0,0,-29.94382013
002255.SZ,海陆重工,0,1,核电,EP000027,2008-06-25,2026-01-05,2026-08-31,160,-0.3702099763,0,0,-37.02099763
002261.SZ,拓维信息,1,0,AI应用,EP000337,2008-07-23,2026-01-05,2026-08-31,160,-0.2265882969,0,0,-22.65882969
002272.SZ,川润股份,1,0,液冷,EP000181,2008-09-19,2026-01-05,2026-08-31,160,0.0397541838,0,0,3.97541838
002283.SZ,天润工业,1,1,发电机,EP000308,2009-08-21,2026-01-05,2026-08-31,160,0.3885162623,0,0,38.85162623
002291.SZ,遥望科技,1,0,人工智能,EP000274,2009-09-03,2026-01-05,2026-08-31,160,-0.1455364172,0,0,-14.55364172
002295.SZ,精艺股份,0,1,有色金属,EP000780,2009-09-29,2026-01-05,2026-08-31,160,-0.2755294876,0,0,-27.55294876
002297.SZ,博云新材,1,1,一季报增长;商业航天,EP000415;EP000437;EP000453,2009-09-29,2026-01-05,2026-08-31,160,0.5480299097,0,0,54.80299097
002309.SZ,中利集团,1,1,光伏,EP000365;EP000495,2009-11-27,2026-01-05,2026-08-31,160,-0.1061940384,0,0,-10.61940384
002310.SZ,东方园林,0,1,绿色电力,EP000219,2009-11-27,2026-01-05,2026-08-31,160,0.0399954725,0,0,3.99954725
