primary_theme,is_headline,lifecycle_class,episode_count,strict_recurrence,gap_recurrence,recurrent_union,active_days,displayed_days,first_active_date,last_active_date,total_episode_active_days,median_episode_active_days,max_episode_active_days,total_limit_up_count,peak_limit_up_count,peak_max_board_count,best_rank_combined,distinct_realized_leader_count,realized_leaders,after_fade_comparisons,after_fade_switches,after_fade_switch_rate
文化传媒,1,recurrent_union,10,1,1,1,12,7,2025-10-31,2026-08-13,12,1.0,2,46,15,7,2,9,002181.SZ:粤传媒;601929.SH:吉视传媒;001330.SZ:博纳影业;603103.SH:横店影视;600386.SH:北巴传媒;300264.SZ:佳创视讯;600229.SH:城市传媒;002739.SZ:万达电影;000802.SZ:北京文化,9,8,0.8888888889
新型工业化,1,recurrent_union,6,1,1,1,7,2,2025-11-12,2026-08-12,7,1.0,2,22,5,5,5,5,002691.SZ:冀凯股份;001225.SZ:和泰机电;603095.SH:越剑智能;001256.SZ:炜冈科技;002248.SZ:华东数控,5,4,0.8
新材料概念,1,single_wave_one_day,1,0,0,0,1,1,2026-05-26,2026-05-26,1,1,1,5,5,2,3,1,600183.SH:生益科技,0,0,
旅游,0,recurrent_union,6,1,1,1,7,0,2025-11-05,2026-08-26,7,1.0,2,16,3,4,8,6,002431.SZ:棕榈股份;600258.SH:首旅酒店;600593.SH:大连圣亚;002033.SZ:丽江股份;000428.SZ:华天酒店;002963.SZ:豪尔赛,5,5,1.0
无人驾驶,1,recurrent_union,5,1,1,1,5,1,2025-12-17,2026-08-05,5,1,1,16,6,5,2,5,001317.SZ:三羊马;002703.SZ:浙江世宝;603458.SH:勘设股份;002766.SZ:索菱股份;300552.SZ:万集科技,4,4,1.0
智慧矿山,0,single_wave_one_day,1,0,0,0,1,0,2026-05-25,2026-05-25,1,1,1,4,4,1,10,1,300275.SZ:梅安森,0,0,
智能家居,0,recurrent_union,2,1,0,1,2,0,2025-12-12,2026-04-15,2,1.0,1,8,4,5,6,2,603709.SH:中源家居;000785.SZ:居然智家,1,1,1.0
智能电网,1,recurrent_union,26,1,1,1,73,36,2025-11-04,2026-08-17,73,2.0,10,378,27,8,1,17,002451.SZ:摩恩电气;603829.SH:洛凯股份;601700.SH:风范股份;001255.SZ:博菲电气;000533.SZ:顺钠股份;002112.SZ:三变科技;002498.SZ:汉缆股份;603530.SH:神马电力;000720.SZ:新能泰山;601778.SH:晶科科技;603063.SH:禾望电气;002782.SZ:可立克;002606.SZ:大连电瓷;002927.SZ:泰永长征;601179.SH:中国西电;002346.SZ:柘中股份;002879.SZ:长缆科技,25,19,0.76
智能驾驶,1,recurrent_union,4,1,0,1,5,4,2025-12-16,2026-02-13,5,1.0,2,32,11,4,1,4,001317.SZ:三羊马;002703.SZ:浙江世宝;002766.SZ:索菱股份;601777.SH:千里科技,3,3,1.0
智谱AI,0,single_wave_one_day,1,0,0,0,1,0,2025-12-29,2025-12-29,1,1,1,2,2,2,6,1,605069.SH:正和生态,0,0,
有色金属,1,recurrent_union,19,1,1,1,39,16,2025-11-13,2026-08-26,39,1,6,240,20,5,1,14,000688.SZ:国城矿业;600868.SH:梅雁吉祥;000960.SZ:锡业股份;002428.SZ:云南锗业;002667.SZ:威领股份;002842.SZ:翔鹭钨业;002378.SZ:章源钨业;600397.SH:江钨装备;002716.SZ:湖南白银;600961.SH:株冶集团;000510.SZ:新金路;000962.SZ:东方钽业;000603.SZ:盛达资源;002295.SZ:精艺股份,18,17,0.9444444444
服装家纺,1,recurrent_union,8,1,0,1,9,1,2025-11-19,2026-08-31,9,1.0,2,24,4,4,4,8,603877.SH:太平鸟;601566.SH:九牧王;605003.SH:众望布艺;301149.SZ:隆华新材;001209.SZ:洪兴股份;603001.SH:奥康国际;002762.SZ:金发拉比;002875.SZ:安奈儿,7,7,1.0
机器人概念,1,recurrent_union,24,1,1,1,100,64,2025-11-11,2026-08-31,100,2.0,16,717,43,17,1,20,002196.SZ:方正电机;600376.SH:首开股份;300509.SZ:新美星;603933.SH:睿能科技;600936.SH:广西广电;002523.SZ:天桥起重;001331.SZ:胜通能源;002931.SZ:锋龙股份;002009.SZ:天奇股份;603626.SH:科森科技;003021.SZ:兆威机电;301196.SZ:唯科科技;301255.SZ:通力科技;300626.SZ:华瑞股份;603897.SH:长城科技;603082.SH:北自科技;603135.SH:中重科技;002354.SZ:天娱数科;603400.SH:华之杰;603758.SH:秦安股份,23,21,0.9130434783
核电,1,recurrent_union,9,1,1,1,16,8,2025-11-06,2026-08-26,16,1,5,78,11,5,1,8,002255.SZ:海陆重工;002639.SZ:雪人集团;002666.SZ:德联集团;601106.SH:中国一重;601611.SH:中国核建;000777.SZ:中核科技;003001.SZ:中岩大地;002366.SZ:融发核电,8,7,0.875
次新股,1,single_wave_one_day,1,0,0,0,1,1,2026-03-17,2026-03-17,1,1,1,4,4,3,2,1,603248.SH:锡华科技,0,0,
氢能源,0,recurrent_union,3,1,0,1,3,0,2025-11-17,2026-03-24,3,1,1,11,5,1,7,3,002356.SZ:赫美集团;300985.SZ:致远新能;688551.SH:科威尔,2,2,1.0
水产品,1,single_wave_multiday,1,0,0,0,2,1,2025-11-21,2025-11-24,2,2,2,4,2,7,5,1,000798.SZ:中水渔业,0,0,
汽车整车,0,single_wave_one_day,1,0,0,0,1,0,2025-11-13,2025-11-13,1,1,1,3,3,1,11,1,600686.SH:金龙汽车,0,0,
汽车零部件,1,recurrent_union,7,1,0,1,9,1,2025-11-28,2026-08-05,9,1,3,28,8,4,1,7,002976.SZ:瑞玛精密;002363.SZ:隆基机械;301529.SZ:福赛科技;603178.SH:圣龙股份;600303.SH:曙光股份;605068.SH:明新旭腾;000981.SZ:山子高科,6,6,1.0
洁净室,0,recurrent_union,2,1,0,1,2,0,2025-12-24,2026-01-14,2,1.0,1,6,3,3,7,2,000551.SZ:创元科技;301043.SZ:绿岛风,1,1,1.0
流感,1,recurrent_union,2,1,0,1,2,1,2025-11-25,2025-11-27,2,1.0,1,10,6,4,5,1,000952.SZ:广济药业,1,0,0.0
海南,1,recurrent_union,5,1,1,1,10,7,2025-11-03,2026-07-02,10,2,4,68,25,5,1,3,000572.SZ:海马汽车;002163.SZ:海南发展;000955.SZ:欣龙控股,4,2,0.5
海峡两岸,1,recurrent_union,6,1,0,1,28,19,2025-11-14,2026-03-31,28,4.5,9,171,18,13,1,4,603122.SH:合富中国;603933.SH:睿能科技;002682.SZ:龙洲股份;000592.SZ:平潭发展,5,3,0.6
海洋经济,1,single_wave_one_day,1,0,0,0,1,1,2026-03-16,2026-03-16,1,1,1,4,4,1,4,1,002086.SZ:东方海洋,0,0,
消费电子,1,recurrent_union,6,1,1,1,8,2,2026-03-10,2026-08-31,8,1.0,2,22,5,5,3,5,002903.SZ:宇环数控;002384.SZ:东山精密;002824.SZ:和胜股份;603958.SH:哈森股份;002855.SZ:捷荣技术,5,4,0.8
液冷,1,recurrent_union,8,1,0,1,9,5,2025-11-06,2026-07-09,9,1.0,2,36,7,2,3,6,600506.SH:统一股份;301123.SZ:奕东电子;002126.SZ:银轮股份;002580.SZ:圣阳股份;301317.SZ:鑫磊股份;000811.SZ:冰轮环境,7,6,0.8571428571
游戏,0,single_wave_one_day,1,0,0,0,1,0,2026-07-29,2026-07-29,1,1,1,3,3,1,14,1,603258.SH:电魂网络,0,0,
热泵,1,single_wave_one_day,1,0,0,0,1,1,2026-03-13,2026-03-13,1,1,1,4,4,1,5,1,603366.SH:日出东方,0,0,
煤炭,1,recurrent_union,14,1,1,1,19,7,2025-11-05,2026-08-24,19,1.0,4,79,13,5,2,9,600408.SH:安泰集团;600403.SH:大有能源;600971.SH:恒源煤电;600121.SH:郑州煤电;600395.SH:盘江股份;000571.SZ:新大洲A;601101.SH:昊华能源;601011.SH:宝泰隆;000723.SZ:美锦能源,13,10,0.7692307692
燃气轮机,1,recurrent_union,17,1,1,1,19,5,2025-11-06,2026-08-17,19,1,2,72,10,3,2,12,002478.SZ:常宝股份;601399.SH:国机重装;002471.SZ:中超控股;000534.SZ:万泽股份;600893.SH:航发动力;605060.SH:联德股份;603308.SH:应流股份;600482.SH:中国动力;603318.SH:水发燃气;301468.SZ:博盈特焊;600391.SH:航发科技;002353.SZ:杰瑞股份,16,15,0.9375
物理AI,1,recurrent_union,7,1,0,1,10,3,2026-05-18,2026-07-08,10,1,3,41,10,5,1,6,301313.SZ:凡拓数创;002421.SZ:达实智能;688671.SH:碧兴物联;603007.SH:花王股份;001229.SZ:魅视科技;600288.SH:大恒科技,6,5,0.8333333333
猪肉,1,recurrent_union,2,1,0,1,2,1,2026-05-14,2026-07-10,2,1.0,1,7,4,2,5,2,002124.SZ:天邦食品;000048.SZ:京基智农,1,1,1.0
环保,1,recurrent_union,2,1,0,1,2,2,2025-11-07,2026-02-26,2,1.0,1,6,3,3,5,2,603759.SH:海天股份;000826.SZ:启迪环境,1,1,1.0
玻璃,1,single_wave_one_day,1,0,0,0,1,1,2026-06-05,2026-06-05,1,1,1,5,5,2,3,1,600293.SH:三峡新材,0,0,
玻璃基板,0,single_wave_one_day,1,0,0,0,1,0,2026-06-05,2026-06-05,1,1,1,3,3,1,11,1,300162.SZ:雷曼光电,0,0,
生物质能,0,single_wave_one_day,1,0,0,0,1,0,2025-11-07,2025-11-07,1,1,1,3,3,1,7,1,688196.SH:卓越新能,0,0,
电力,1,recurrent_union,15,1,1,1,55,35,2026-02-26,2026-08-10,55,3,9,297,17,8,1,12,000899.SZ:赣能股份;002445.SZ:中南文化;600396.SH:华电辽能;605162.SH:新中港;001896.SZ:豫能控股;600726.SH:华电能源;601991.SH:大唐发电;000037.SZ:深南电A;002053.SZ:云南能投;001258.SZ:立新能源;000595.SZ:宝塔实业;000537.SZ:绿发电力,14,12,0.8571428571
电子树脂,0,single_wave_one_day,1,0,0,0,1,0,2026-07-02,2026-07-02,1,1,1,2,2,4,10,1,603928.SH:兴业股份,0,0,
电梯概念,0,single_wave_one_day,1,0,0,0,1,0,2026-01-07,2026-01-07,1,1,1,3,3,3,9,1,002774.SZ:快意电梯,0,0,
电气设备,0,single_wave_one_day,1,0,0,0,1,0,2026-03-30,2026-03-30,1,1,1,3,3,1,8,1,603897.SH:长城科技,0,0,
电源,0,recurrent_union,3,1,0,1,3,0,2026-05-13,2026-06-16,3,1,1,9,3,2,8,3,002364.SZ:中恒电气;300593.SZ:新雷能;002851.SZ:麦格米特,2,2,1.0
电解液,0,single_wave_one_day,1,0,0,0,1,0,2026-07-24,2026-07-24,1,1,1,2,2,2,6,1,002083.SZ:孚日股份,0,0,
电阻电容,1,recurrent_union,3,1,0,1,4,2,2026-06-16,2026-07-14,4,1,2,19,9,5,3,2,603115.SH:海星股份;603989.SH:艾华集团,2,1,0.5
疫苗概念,1,single_wave_multiday,1,0,0,0,2,1,2026-08-20,2026-08-21,2,2,2,22,18,2,3,1,688137.SH:近岸蛋白,0,0,
病毒防治,1,recurrent_union,2,1,0,1,3,2,2026-01-26,2026-05-11,3,1.5,2,14,8,2,3,2,300639.SZ:凯普生物;002030.SZ:达安基因,1,1,1.0
短剧,0,single_wave_one_day,1,0,0,0,1,0,2025-11-03,2025-11-03,1,1,1,2,2,2,10,1,000892.SZ:欢瑞世纪,0,0,
